alert_id,transaction_id,account_id,customer_id,rule_id,rule_name,alert_timestamp,transaction_timestamp,alert_severity,risk_points,reason,evidence_json,investigation_status,synthetic_data_flag
AML-95313B490898A51E,TXN-000000369,ACC-0000024,CUST-000016,AML009,"KYC, PEP, sanctions, or watchlist exposure",2026-01-01T00:00:00,2025-01-03T16:49:36,high,32,Synthetic customer due-diligence or watchlist indicators require review.,"{""aml_watchlist_flag"":0,""customer_id"":""CUST-000016"",""kyc_status"":""Pending Review"",""pep_flag"":false,""sanctions_screening_status"":""Clear""}",open,True
AML-72081CF677EEFCCB,TXN-000000436,ACC-0000029,CUST-000019,AML004,High-risk geography,2026-01-01T00:00:00,2025-01-04T11:00:04,medium,18,Transaction matched the synthetic geography condition: illustrative configured list.,"{""configured_geography_classification"":""illustrative configured list"",""cross_border_indicator"":true,""customer_country"":""NL"",""ip_country"":""NL"",""merchant_country"":""BR""}",open,True
AML-A6D0C39BEE7485AF,TXN-000000436,ACC-0000029,CUST-000019,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-04T11:00:04,medium,18,"Device or session conditions observed: session risk, new device.","{""authentication_method"":""Biometric"",""device_id"":""DEV-000019-03"",""ip_country"":""NL"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000075"",""session_risk_signal"":""Medium"",""unusual_ip_geography"":false}",open,True
AML-C0DD2D2C245D3E12,TXN-000001202,ACC-0000083,CUST-000043,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-04T17:00:06,medium,18,Device or session conditions observed: new device.,"{""authentication_method"":""One-time Passcode"",""device_id"":""DEV-000043-03"",""ip_country"":""ES"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000171"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-A026DCE0B4CF9B3F,TXN-000001202,ACC-0000083,CUST-000043,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-04T17:00:06,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""POS"",""configured_high_risk_category"":true,""configured_high_risk_channel"":false,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Cash Services"",""novel_pattern"":false}",open,True
AML-971FE975620DCF22,TXN-000000145,ACC-0000010,CUST-000007,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-04T18:33:07,medium,18,"Device or session conditions observed: session risk, new device.","{""authentication_method"":""MFA Push"",""device_id"":""DEV-000007-02"",""ip_country"":""US"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000026"",""session_risk_signal"":""Medium"",""unusual_ip_geography"":false}",open,True
AML-69567F44C7B48E91,TXN-000000037,ACC-0000003,CUST-000003,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-05T10:00:48,medium,18,"Device or session conditions observed: session risk, new device.","{""authentication_method"":""MFA Push"",""device_id"":""DEV-000003-04"",""ip_country"":""SG"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000012"",""session_risk_signal"":""Medium"",""unusual_ip_geography"":false}",open,True
AML-ABB46F5AF9B9CF45,TXN-000000037,ACC-0000003,CUST-000003,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-05T10:00:48,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""ATM"",""configured_high_risk_category"":false,""configured_high_risk_channel"":true,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Travel"",""novel_pattern"":false}",open,True
AML-A0EEF4AE0F65011A,TXN-000001070,ACC-0000073,CUST-000038,AML004,High-risk geography,2026-01-01T00:00:00,2025-01-06T05:13:52,medium,18,Transaction matched the synthetic geography condition: illustrative configured list.,"{""configured_geography_classification"":""illustrative configured list"",""cross_border_indicator"":true,""customer_country"":""NL"",""ip_country"":""NL"",""merchant_country"":""BR""}",open,True
AML-F22BAE8820FB9CCD,TXN-000001070,ACC-0000073,CUST-000038,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-06T05:13:52,medium,18,Device or session conditions observed: new device.,"{""authentication_method"":""Password"",""device_id"":""DEV-000038-04"",""ip_country"":""NL"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000152"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-2967496624FD9E57,TXN-000000150,ACC-0000010,CUST-000007,AML004,High-risk geography,2026-01-01T00:00:00,2025-01-06T06:54:42,medium,18,Transaction matched the synthetic geography condition: illustrative configured list.,"{""configured_geography_classification"":""illustrative configured list"",""cross_border_indicator"":true,""customer_country"":""US"",""ip_country"":""US"",""merchant_country"":""ZA""}",open,True
AML-157FF001EB4225CC,TXN-000000150,ACC-0000010,CUST-000007,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-06T06:54:42,medium,18,Device or session conditions observed: new device.,"{""authentication_method"":""MFA Push"",""device_id"":""DEV-000007-03"",""ip_country"":""US"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000027"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-3455BA944DBA4C64,TXN-000000150,ACC-0000010,CUST-000007,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-06T06:54:42,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Online Banking"",""configured_high_risk_category"":false,""configured_high_risk_channel"":true,""historical_channels"":[""Branch""],""historical_merchant_categories"":[""Entertainment""],""merchant_category"":""Grocery"",""novel_pattern"":false}",open,True
AML-9D629C41AE88724D,TXN-000001039,ACC-0000071,CUST-000038,AML004,High-risk geography,2026-01-01T00:00:00,2025-01-06T18:26:07,medium,18,Transaction matched the synthetic geography condition: illustrative configured list.,"{""configured_geography_classification"":""illustrative configured list"",""cross_border_indicator"":true,""customer_country"":""NL"",""ip_country"":""NL"",""merchant_country"":""ZA""}",open,True
AML-721E6AC25292C834,TXN-000001039,ACC-0000071,CUST-000038,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-06T18:26:07,medium,18,Device or session conditions observed: new device.,"{""authentication_method"":""MFA Push"",""device_id"":""DEV-000038-02"",""ip_country"":""NL"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000150"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-F2B7778AF87976BB,TXN-000001385,ACC-0000097,CUST-000048,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-06T19:10:42,medium,18,Device or session conditions observed: new device.,"{""authentication_method"":""Biometric"",""device_id"":""DEV-000048-01"",""ip_country"":""DE"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000189"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-C4CF6607F5B0798F,TXN-000001385,ACC-0000097,CUST-000048,AML009,"KYC, PEP, sanctions, or watchlist exposure",2026-01-01T00:00:00,2025-01-06T19:10:42,high,32,Synthetic customer due-diligence or watchlist indicators require review.,"{""aml_watchlist_flag"":1,""customer_id"":""CUST-000048"",""kyc_status"":""Verified"",""pep_flag"":false,""sanctions_screening_status"":""Clear""}",open,True
AML-C80E56CE9FF29CCD,TXN-000001385,ACC-0000097,CUST-000048,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-06T19:10:42,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Mobile App"",""configured_high_risk_category"":true,""configured_high_risk_channel"":false,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Money Transfer"",""novel_pattern"":false}",open,True
AML-F7BD544D46D6D990,TXN-000001071,ACC-0000073,CUST-000038,AML005,Unusual cross-border activity,2026-01-01T00:00:00,2025-01-07T07:44:24,medium,20,Cross-border activity reached ratio 1.00 with 2 prior cross-border events in the window.,"{""count_threshold"":5,""current_cross_border_ratio"":1.0,""current_merchant_country"":""IE"",""distinct_prior_countries"":2,""historical_customer_geography"":[""BR"",""ZA""],""prior_cross_border_count"":2,""ratio_threshold"":0.9,""window_days"":30}",open,True
AML-18323924CEF7F4A6,TXN-000000026,ACC-0000002,CUST-000002,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-07T11:59:20,medium,18,"Device or session conditions observed: session risk, new device.","{""authentication_method"":""MFA Push"",""device_id"":""DEV-000002-02"",""ip_country"":""US"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000006"",""session_risk_signal"":""Medium"",""unusual_ip_geography"":false}",open,True
AML-85E98C92D6269D6B,TXN-000000026,ACC-0000002,CUST-000002,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-07T11:59:20,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Branch"",""configured_high_risk_category"":true,""configured_high_risk_channel"":false,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Cash Services"",""novel_pattern"":false}",open,True
AML-A764CE1807054432,TXN-000001223,ACC-0000084,CUST-000043,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-07T20:25:58,medium,18,"Device or session conditions observed: session risk, new device.","{""authentication_method"":""Password"",""device_id"":""DEV-000043-01"",""ip_country"":""ES"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000169"",""session_risk_signal"":""Medium"",""unusual_ip_geography"":false}",open,True
AML-32E81CDE00CE8967,TXN-000001223,ACC-0000084,CUST-000043,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-07T20:25:58,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""ATM"",""configured_high_risk_category"":false,""configured_high_risk_channel"":true,""historical_channels"":[""POS""],""historical_merchant_categories"":[""Cash Services""],""merchant_category"":""Travel"",""novel_pattern"":false}",open,True
AML-72A6110EB5F8EC77,TXN-000000550,ACC-0000037,CUST-000023,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-07T20:59:02,medium,18,Device or session conditions observed: new device.,"{""authentication_method"":""MFA Push"",""device_id"":""DEV-000023-01"",""ip_country"":""GB"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000089"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-1F6CBA5DF8AC9554,TXN-000000550,ACC-0000037,CUST-000023,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-07T20:59:02,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Online Banking"",""configured_high_risk_category"":false,""configured_high_risk_channel"":true,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Travel"",""novel_pattern"":false}",open,True
AML-E8E9681B11CD16E5,TXN-000000093,ACC-0000006,CUST-000004,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-07T21:05:58,medium,18,Device or session conditions observed: new device.,"{""authentication_method"":""Biometric"",""device_id"":""DEV-000004-04"",""ip_country"":""ES"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000016"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-DA36D9705124A1D9,TXN-000000099,ACC-0000007,CUST-000005,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-07T22:55:43,medium,18,Device or session conditions observed: new device.,"{""authentication_method"":""Biometric"",""device_id"":""DEV-000005-01"",""ip_country"":""GB"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000017"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-E2B5282E4B393F5F,TXN-000000099,ACC-0000007,CUST-000005,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-07T22:55:43,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""ATM"",""configured_high_risk_category"":false,""configured_high_risk_channel"":true,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Travel"",""novel_pattern"":false}",open,True
AML-F8633A400860DB26,TXN-000000114,ACC-0000008,CUST-000005,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-07T23:16:12,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Online Banking"",""configured_high_risk_category"":true,""configured_high_risk_channel"":true,""historical_channels"":[""ATM""],""historical_merchant_categories"":[""Travel""],""merchant_category"":""Money Transfer"",""novel_pattern"":false}",open,True
AML-9DE4CAA3A0644280,TXN-000001344,ACC-0000093,CUST-000047,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-09T02:29:45,medium,18,Device or session conditions observed: new device.,"{""authentication_method"":""Password"",""device_id"":""DEV-000047-03"",""ip_country"":""US"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000187"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-8DFC19713D08AB8C,TXN-000001344,ACC-0000093,CUST-000047,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-09T02:29:45,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Online Banking"",""configured_high_risk_category"":false,""configured_high_risk_channel"":true,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Electronics"",""novel_pattern"":false}",open,True
AML-847401A25837BED6,TXN-000000962,ACC-0000065,CUST-000036,AML004,High-risk geography,2026-01-01T00:00:00,2025-01-09T05:05:36,medium,18,Transaction matched the synthetic geography condition: illustrative configured list.,"{""configured_geography_classification"":""illustrative configured list"",""cross_border_indicator"":true,""customer_country"":""FR"",""ip_country"":""IE"",""merchant_country"":""BR""}",open,True
AML-62D40FC001492F3B,TXN-000000962,ACC-0000065,CUST-000036,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-09T05:05:36,medium,18,"Device or session conditions observed: session risk, IP mismatch, new device.","{""authentication_method"":""MFA Push"",""device_id"":""DEV-000036-02"",""ip_country"":""IE"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000142"",""session_risk_signal"":""Elevated"",""unusual_ip_geography"":true}",open,True
AML-C2A804E30BB88513,TXN-000000316,ACC-0000021,CUST-000014,AML004,High-risk geography,2026-01-01T00:00:00,2025-01-09T08:10:37,medium,18,Transaction matched the synthetic geography condition: illustrative configured list.,"{""configured_geography_classification"":""illustrative configured list"",""cross_border_indicator"":true,""customer_country"":""SG"",""ip_country"":""SG"",""merchant_country"":""ZA""}",open,True
AML-8AFA3B60F42ECEAF,TXN-000000316,ACC-0000021,CUST-000014,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-09T08:10:37,medium,18,Device or session conditions observed: new device.,"{""authentication_method"":""Biometric"",""device_id"":""DEV-000014-04"",""ip_country"":""SG"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000056"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-63D5BBB2C7C24A1E,TXN-000000316,ACC-0000021,CUST-000014,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-09T08:10:37,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Online Banking"",""configured_high_risk_category"":true,""configured_high_risk_channel"":true,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Money Transfer"",""novel_pattern"":false}",open,True
AML-E938243106536EC5,TXN-000000320,ACC-0000021,CUST-000014,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-09T15:22:19,medium,18,"Device or session conditions observed: session risk, new device.","{""authentication_method"":""Password"",""device_id"":""DEV-000014-01"",""ip_country"":""SG"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000053"",""session_risk_signal"":""Medium"",""unusual_ip_geography"":false}",open,True
AML-50C96EBA07890197,TXN-000000320,ACC-0000021,CUST-000014,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-09T15:22:19,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Online Banking"",""configured_high_risk_category"":false,""configured_high_risk_channel"":true,""historical_channels"":[""Online Banking""],""historical_merchant_categories"":[""Money Transfer""],""merchant_category"":""Utilities"",""novel_pattern"":false}",open,True
AML-0C2A3B7E7C88A48B,TXN-000000622,ACC-0000042,CUST-000025,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-09T18:43:18,medium,18,Device or session conditions observed: new device.,"{""authentication_method"":""Biometric"",""device_id"":""DEV-000025-01"",""ip_country"":""IE"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000097"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-43707653F3B5769C,TXN-000001122,ACC-0000077,CUST-000041,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-09T19:17:54,medium,18,Device or session conditions observed: new device.,"{""authentication_method"":""Biometric"",""device_id"":""DEV-000041-01"",""ip_country"":""ES"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000161"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-4CEDF8D3CA0B1097,TXN-000001122,ACC-0000077,CUST-000041,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-09T19:17:54,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Mobile App"",""configured_high_risk_category"":true,""configured_high_risk_channel"":false,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Crypto Exchange"",""novel_pattern"":false}",open,True
AML-39279A965AAF83CF,TXN-000000381,ACC-0000025,CUST-000017,AML004,High-risk geography,2026-01-01T00:00:00,2025-01-09T22:12:54,medium,18,Transaction matched the synthetic geography condition: illustrative configured list.,"{""configured_geography_classification"":""illustrative configured list"",""cross_border_indicator"":true,""customer_country"":""DE"",""ip_country"":""ZA"",""merchant_country"":""BR""}",open,True
AML-A09F9845BDECC0C0,TXN-000000381,ACC-0000025,CUST-000017,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-09T22:12:54,medium,18,"Device or session conditions observed: IP mismatch, new device.","{""authentication_method"":""Biometric"",""device_id"":""DEV-000017-04"",""ip_country"":""ZA"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000068"",""session_risk_signal"":""Low"",""unusual_ip_geography"":true}",open,True
AML-FF4AC07F9390ED55,TXN-000000381,ACC-0000025,CUST-000017,AML009,"KYC, PEP, sanctions, or watchlist exposure",2026-01-01T00:00:00,2025-01-09T22:12:54,high,32,Synthetic customer due-diligence or watchlist indicators require review.,"{""aml_watchlist_flag"":0,""customer_id"":""CUST-000017"",""kyc_status"":""Enhanced Due Diligence"",""pep_flag"":false,""sanctions_screening_status"":""Clear""}",open,True
AML-9827E339305A38C1,TXN-000000381,ACC-0000025,CUST-000017,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-09T22:12:54,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Online Banking"",""configured_high_risk_category"":false,""configured_high_risk_channel"":true,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Utilities"",""novel_pattern"":false}",open,True
AML-EDF0645463EF60D4,TXN-000001167,ACC-0000080,CUST-000042,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-10T01:03:17,medium,18,"Device or session conditions observed: session risk, new device.","{""authentication_method"":""Password"",""device_id"":""DEV-000042-01"",""ip_country"":""ES"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000165"",""session_risk_signal"":""Medium"",""unusual_ip_geography"":false}",open,True
AML-269DD3232760425E,TXN-000001167,ACC-0000080,CUST-000042,AML009,"KYC, PEP, sanctions, or watchlist exposure",2026-01-01T00:00:00,2025-01-10T01:03:17,high,32,Synthetic customer due-diligence or watchlist indicators require review.,"{""aml_watchlist_flag"":0,""customer_id"":""CUST-000042"",""kyc_status"":""Verified"",""pep_flag"":false,""sanctions_screening_status"":""Potential Match""}",open,True
AML-E5173952A2BE8D86,TXN-000001167,ACC-0000080,CUST-000042,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-10T01:03:17,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Branch"",""configured_high_risk_category"":true,""configured_high_risk_channel"":false,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Cash Services"",""novel_pattern"":false}",open,True
AML-910E239DDE7958C9,TXN-000000552,ACC-0000037,CUST-000023,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-11T01:06:34,medium,18,"Device or session conditions observed: session risk, new device.","{""authentication_method"":""One-time Passcode"",""device_id"":""DEV-000023-02"",""ip_country"":""GB"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000090"",""session_risk_signal"":""Medium"",""unusual_ip_geography"":false}",open,True
AML-93A445E3D755F991,TXN-000000552,ACC-0000037,CUST-000023,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-11T01:06:34,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Mobile App"",""configured_high_risk_category"":true,""configured_high_risk_channel"":false,""historical_channels"":[""Online Banking""],""historical_merchant_categories"":[""Travel""],""merchant_category"":""Cash Services"",""novel_pattern"":false}",open,True
AML-B18A80EEB380E306,TXN-000001035,ACC-0000070,CUST-000037,AML004,High-risk geography,2026-01-01T00:00:00,2025-01-11T10:49:44,medium,18,Transaction matched the synthetic geography condition: illustrative configured list.,"{""configured_geography_classification"":""illustrative configured list"",""cross_border_indicator"":true,""customer_country"":""FR"",""ip_country"":""FR"",""merchant_country"":""TR""}",open,True
AML-01FA55A5CB6DA5AB,TXN-000001035,ACC-0000070,CUST-000037,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-11T10:49:44,medium,18,"Device or session conditions observed: failed authentication, new device.","{""authentication_method"":""One-time Passcode"",""device_id"":""DEV-000037-02"",""ip_country"":""FR"",""login_success"":false,""new_device_indicator"":1,""session_id"":""SES-00000146"",""session_risk_signal"":""Low"",""unusual_ip_geography"":false}",open,True
AML-CD0065487FA8EDCD,TXN-000001035,ACC-0000070,CUST-000037,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-11T10:49:44,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""POS"",""configured_high_risk_category"":true,""configured_high_risk_channel"":false,""historical_channels"":[""Branch""],""historical_merchant_categories"":[""Entertainment""],""merchant_category"":""Money Transfer"",""novel_pattern"":false}",open,True
AML-1706BABF14E8C8F9,TXN-000001083,ACC-0000075,CUST-000040,AML004,High-risk geography,2026-01-01T00:00:00,2025-01-11T16:56:19,medium,18,Transaction matched the synthetic geography condition: unexpected mismatch.,"{""configured_geography_classification"":""unexpected mismatch"",""cross_border_indicator"":true,""customer_country"":""DE"",""ip_country"":""SG"",""merchant_country"":""AE""}",open,True
AML-E3685269E3719539,TXN-000001083,ACC-0000075,CUST-000040,AML008,Device or session risk,2026-01-01T00:00:00,2025-01-11T16:56:19,medium,18,"Device or session conditions observed: IP mismatch, new device.","{""authentication_method"":""Biometric"",""device_id"":""DEV-000040-03"",""ip_country"":""SG"",""login_success"":true,""new_device_indicator"":1,""session_id"":""SES-00000159"",""session_risk_signal"":""Low"",""unusual_ip_geography"":true}",open,True
AML-41806B87712F2C34,TXN-000001083,ACC-0000075,CUST-000040,AML010,Unusual merchant or channel pattern,2026-01-01T00:00:00,2025-01-11T16:56:19,low,10,Merchant or channel activity matched a configured or novel pattern.,"{""channel"":""Online Banking"",""configured_high_risk_category"":false,""configured_high_risk_channel"":true,""historical_channels"":[],""historical_merchant_categories"":[],""merchant_category"":""Entertainment"",""novel_pattern"":false}",open,True
